Date,Monthly_return
2010-11-30,-1.36644039318012E-05
2010-12-31,0
2011-01-31,4.09943321164619E-05
2011-02-28,-4.09926516500292E-05
2011-03-31,1.36645906503308E-05
2011-04-30,-1.36644039318012E-05
2011-05-31,1.36645906503308E-05
2011-06-30,-1.36644039318012E-05
2011-07-31,0
2011-08-31,1.36645906503308E-05
2011-09-30,-1.36644039318012E-05
2011-10-31,1.36645906503308E-05
2011-11-30,-1.36644039318012E-05
2011-12-31,0
2012-01-31,2.73293680215225E-05
2012-02-29,-2.73286211475154E-05
2012-03-31,1.36645906503308E-05
2012-04-30,-1.36644039318012E-05
2012-05-31,1.36645906503308E-05
2012-06-30,-1.36644039318012E-05
2012-07-31,0
2012-08-31,1.36645906503308E-05
2012-09-30,-1.36644039318012E-05
2012-10-31,1.36645906503308E-05
2012-11-30,-1.36644039318012E-05
2012-12-31,0
2013-01-31,4.09943321164619E-05
2013-02-28,-4.09926516500292E-05
2013-03-31,1.36645906503308E-05
2013-04-30,-1.36644039318012E-05
2013-05-31,1.36645906503308E-05
2013-06-30,-1.36644039318012E-05
2013-07-31,0
2013-08-31,1.36645906503308E-05
2013-09-30,-1.36644039318012E-05
2013-10-31,1.36645906503308E-05
2013-11-30,-1.36644039318012E-05
2013-12-31,0
2014-01-31,4.09943321164619E-05
2014-02-28,-4.09926516500292E-05
2014-03-31,1.36645906503308E-05
2014-04-30,-1.36644039318012E-05
2014-05-31,1.36645906503308E-05
2014-06-30,-1.36644039318012E-05
2014-07-31,0
2014-08-31,1.36645906503308E-05
2014-09-30,-1.36644039318012E-05
2014-10-31,1.36645906503308E-05
2014-11-30,-1.36644039318012E-05
2014-12-31,0
2015-01-31,4.09943321164619E-05
2015-02-28,-4.09926516500292E-05
2015-03-31,1.36645906503308E-05
2015-04-30,-1.36644039318012E-05
2015-05-31,1.36645906503308E-05
2015-06-30,-1.36644039318012E-05
2015-07-31,0
2015-08-31,1.36645906503308E-05
2015-09-30,-1.36644039318012E-05
2015-10-31,1.36645906503308E-05
2015-11-30,-1.36644039318012E-05
2015-12-31,0
2016-01-31,2.73293680215225E-05
2016-02-29,-2.73286211475154E-05
2016-03-31,1.36645906503308E-05
2016-04-30,-1.36644039318012E-05
2016-05-31,1.36645906503308E-05
2016-06-30,-1.36644039318012E-05
2016-07-31,0.000191082683419053
2016-08-31,2.73123295118083E-05
2016-09-30,0.000184009734690571
2016-10-31,6.84846139131778E-07
2016-11-30,-6.84845670062551E-07
2016-12-31,0
2017-01-31,2.054539824492E-06
2017-02-28,-2.05453560342406E-06
2017-03-31,6.84846139131778E-07
2017-04-30,-6.84845670062551E-07
2017-05-31,6.84846139131778E-07
2017-06-30,-6.84845670062551E-07
2017-07-31,0
2017-08-31,6.84846139131778E-07
2017-09-30,-6.84845670062551E-07
2017-10-31,-1.91705383021379E-05
2017-11-30,-0.0040950136881972
2017-12-31,0
2018-01-31,0.000401095465251577
2018-02-28,-0.000400934652180718
2018-03-31,0.000133680617113496
2018-04-30,-0.000133662748994734
2018-05-31,0.000133680617113496
2018-06-30,-0.000133662748994734
2018-07-31,0.00395633546285534
2018-08-31,-0.000418758088881144
